SEARCH,YEARS,PATTRN,HASHfile
division, 2015 ,[Dd]ivision,/tmp/work/c/c32896ba1dedfd2e586a0858b44b6ef5bd029eb717f486e2158b075292767b21
Division, 1999 ,[Dd]ivision,/tmp/work/c/ce819426d8ec44fba2f3d11330f1c81d3c0effc026283880339c7b03a5af88b0
division, 2016 ,[Dd]ivision,/tmp/work/c/cead03f763c5b98711d357e3a4488b6f7733964e1c2cfe43519934ed0de1c977
division, 2019 ,[Dd]ivision,/tmp/work/c/c2e10b9abfbe490567acfff6dde840698802dda51b533261092cb3f98cd987cd
division, 2015 ,[Dd]ivision,/tmp/work/c/cf25606110d2eac37f540098a40bbfc013456415dd758c821bfcb4771817b12d
Division, ,[Dd]ivision,/tmp/work/c/c64c209848352f8dc01626dc1acbe0e083ecf6fea2c2a25ddc16409a41f53bb9
division, ,[Dd]ivision,/tmp/work/c/c1287decb8faebd9318bf05f9b015421321abed0a64f2f6c9c5cd02686348545
division, ,[Dd]ivision,/tmp/work/c/c4763a9023ba73e8a40a6edcabab4e24e251b3c4b5f04bf4cc5cd5238e2ff0e8
Division, 2002 ,[Dd]ivision,/tmp/work/c/c0949f72146e072f41dfd4c1a4e560a4204bab05226d90d23b76d9b218baeb6c
division, ,[Dd]ivision,/tmp/work/c/c09c1e294b35de00000282cef71c76a6e2a43186bafb8472b16b83291242fd81
division, 2006 ,[Dd]ivision,/tmp/work/c/c3e3b1f4b7130687e402e0234f826a45609883a1c2575e263f774ff8cfb1c83c
division, 2013 ,[Dd]ivision,/tmp/work/c/c4440a9868d89db2d3c792dbf2857250c6efb0c1a34b82c1340f30c0c35a7c52
division, ,[Dd]ivision,/tmp/work/c/c1f2e28f00791f5579b03629c32c36986ed6cea7a9520c1f0ea72c0db16f23de
Division, 1999 ,[Dd]ivision,/tmp/work/c/cc065f0cd561465d00ae614ed0876171457ddbccf38e2f7bdd8db5d17a016f35
division, ,[Dd]ivision,/tmp/work/c/c50cd6277cf075a8e8fb396372c059add83fb7a58c1c0c534ccfc58b2b5789b0
division, ,[Dd]ivision,/tmp/work/c/c0957e1192cb789723fdbab4dae2398645a182d1b0f3403349613f8230e709c8
Division, ,[Dd]ivision,/tmp/work/c/c28ed9795b4cb7aa2f84e009257ab86dbb8d7075350dc53b62439fd63a180abc
Division, 2019 ,[Dd]ivision,/tmp/work/c/c51ea6bd89ad6bd7bcbf19218b4704957580865489cce28061061ca27f7e589e
division, 2006 ,[Dd]ivision,/tmp/work/c/cd6982b94ba27a9600ab1b78765bcf88715ef09bb10a6036355b19d4651e6887
division, 2017 ,[Dd]ivision,/tmp/work/c/c9e03671d013dbbc1a9a1595a45532647676d07128fa7de86b80b3180cefcdb9
Division, 1999 ,[Dd]ivision,/tmp/work/c/c022b1b49a3cb71b9c9bfe214f4b0d7de547527096f8076d1c01d0b9c1aa8075
division, 2019 ,[Dd]ivision,/tmp/work/c/c8b5e35cc182220dcc21460424595259e593bba3a19d86d1d948492347e0d24c
Division, 2000 ,[Dd]ivision,/tmp/work/c/c9e628456094768aca514f140c302d9518066a4b76dfe1ced57e5c30b9fbd09a
division, 2019 ,[Dd]ivision,/tmp/work/c/c419da80ca1a1469aa93fdcb3c95c8716ff73f4cb7d248252cee97a653d6eaa5
