SEARCH,YEARS,PATTRN,HASHfile
Spring, ,Spring,/tmp/work/f/fbc9e0f50626156fc7505ef739b40b781463091644bd55d108cbc24bee09af39
Spring, ,Spring,/tmp/work/f/f8f824bbc634f24c1e262f8f92fa20f43f8f8f16f2aebcdef3e2f48607eb2800
Spring, ,Spring,/tmp/work/f/f6139c7490b5126848e27f0e8d3db37d5d2b54e62f4db11c51d8d6f8e1689919
Spring, ,Spring,/tmp/work/f/f268e48d37836a2d26d9f044a87233eef424aec11a09277a0adecf974c1b849f
Spring, ,Spring,/tmp/work/f/f32f376c699f0f5759dec9b29a294e9aa75a236f14b463e28f330881c4c040e9
Spring, ,Spring,/tmp/work/f/f85d623d834038dec6b8421c75db00eea8c974674b4073a03e62037703321d30
Spring, 2004 ,Spring,/tmp/work/f/f8e06cffa6495e008b76f7b1fd2d936f1093ab95d9061145e0c47c21fa2539c9
Spring, ,Spring,/tmp/work/f/f2c2d62d76bab2b1527eef623534d8002ab9c0b8047e44ec131a70a7b849e755
Spring, ,Spring,/tmp/work/f/f0843e0418262964c4218261b42fc319efabe21b583363374938409e9fc3b10b
Spring, ,Spring,/tmp/work/f/fdc5f789840a93c0def8fe94eda6911fed385de8efd24057a2fd5e96330f967b
Spring, 2017 ,Spring,/tmp/work/f/f48e855f2b427dd7a569b2ccb2469b80ca53a44cf37c8c43660773977e6d0ca1
Spring, ,Spring,/tmp/work/f/fdd75ad738e02b828cb1011b240f9a805410fa804636fb73e4cf322f15390f60
Spring, ,Spring,/tmp/work/f/f4641a7d073293e4c97479b2c7933730705dddcf70f413e0b644a47d05aa3af9
Spring, 2016 ,Spring,/tmp/work/f/fe6602057943ce4bffdfe143ca7d85c0dbc9f97ae32f495162d1e4f41538ac87
Spring, 2020 ,Spring,/tmp/work/f/f8bab5a266c2cd847c772e8567871ab1c61352fceb2913725c29bc5beb5203d5
Spring, ,Spring,/tmp/work/f/f0aeeb2a5db51bd4950a607157fea225059b6b34b6eebb6e373e36813a2acde2
Spring, 2019 ,Spring,/tmp/work/f/ffc4557b3aa963ab45f640d9fe76bf9f99af34c1c3a6ae0bb865230ed551acd8
Spring, 2015 ,Spring,/tmp/work/f/f86f6d747bbc742aead16ef3d242a4ec3d2dc9044e841058df34208ee3757b40
Spring, 2015 ,Spring,/tmp/work/f/f5336fbbc7b7811c2e3f6d1f28f41a3cfe6302b6d97e213bfb67a6e564f72cbb
Spring, 2011 ,Spring,/tmp/work/f/f9c06bb70098001c87a512de5d5bc13a7b7f0ad1702eadab44865ba02e44d8fc
Spring, 2018 ,Spring,/tmp/work/f/f39087c7b4aabf37216a2b114549998b2e4d68252efa0824f2c915eb9a7578c5
Spring, 2005 ,Spring,/tmp/work/f/f22813fb09076566de7a45a0e4d928a4ad557cd710b9d943a5125ee77d8b10c0
Spring, 2019 ,Spring,/tmp/work/f/fe72f3ae77b2e817221c26424783e360c45dc47e36620e57f5d39ac441681afa
Spring, ,Spring,/tmp/work/f/ff5ce24ccbe8d5efb01064312b3ac0e2e97bd77841d01dd0ce04e54442df8203
Spring, ,Spring,/tmp/work/f/fa46bd82c27a2a764bfb67910ed954e68dbd63150d622a011878efa753538760
Spring, 2018 ,Spring,/tmp/work/f/f420822f4cd2282fd85d84895a53b4ccf0ce9816f634a804bd733416770d7a23
Spring, ,Spring,/tmp/work/f/f5256e946caf4969a587f181d6130fe0a5bebf43eaa997cf8101e22038862196
Spring, ,Spring,/tmp/work/f/fdb139a7deda061a77b074a60e2ddb05a0a03365f0b28db086ad8100a5ab28c4
Spring, ,Spring,/tmp/work/f/f5a92bd77d4c87cb0cca249c3c8e71f1f850375b2535764e94058b75299a2909
Spring, 2021 ,Spring,/tmp/work/f/fcafb9800b4c73a75d728d0cc659262f0e1d5404bf061d84b295c4d21fea7c75
Spring, 2016 ,Spring,/tmp/work/f/ffd68daef754bf4f9d312ae7c50e0fc3993d33eccdbbb9fd0191039c986bd131
Spring, ,Spring,/tmp/work/f/fee17c17999f1268689e5275acebc1bb07a4239ec9d7656a22e4766045410980
Spring, ,Spring,/tmp/work/f/fcc9b281e479c1d1fa1b5e6dbf90fe284af8737fb45bf786ef006a7cd1a05d28
Spring, ,Spring,/tmp/work/f/f7439df421e845f87a690f7316e1bb3df589fa95acfebe34952adb695d8b74eb
Spring, 2015 ,Spring,/tmp/work/f/f98710881ed37554a347157740d90ac8417ff72278354b2ead623249bea3c115
Spring, 2018 ,Spring,/tmp/work/f/f2aff1feaa43eac75a4dc0cdb91f433a81f110654aee7dd5f3a86109c65846a7
Spring, ,Spring,/tmp/work/f/f117c3c45de6c1bea831e4d0f983638571e065eb1f8d5d6a5590ca8529fbf135
Spring, 2002 ,Spring,/tmp/work/f/f120fbd2f6e58712e8e9688487b79b34c3c75c90cf4fe4193696f3b92d255964
Spring, ,Spring,/tmp/work/f/f83ada8942440b0f3b6431e5f0d158801cdb85bf9117a66f8e4d6f168569b7b8
Spring, ,Spring,/tmp/work/f/f6b124749d94a7c0b769c74e60dd269e6e74c8fc6b442d240b8805ec5d11b58c
Spring, ,Spring,/tmp/work/f/f5744d509438189be2c989235cb1348a87f6b6dc334d9e7547357a2f3ea01b65
Spring, ,Spring,/tmp/work/f/f594c0af94e552ac7a2a5f01e608a4006d48bb56e4385183bf74d782c8f6abbf
Spring, ,Spring,/tmp/work/f/f95a00c6b1e8cba23556ea4af5f5fbb19be4d9d1afdd5a245d89d2102c643d31
Spring, ,Spring,/tmp/work/f/f5a139ac8989573b10b444a7547fdcd9666f30757009e4f9a559de1d4cf1757c
Spring, ,Spring,/tmp/work/f/f9783af1a1c2b3d6b5ec0f660a74952e61e8668804dc1f1fca58d48ff11ed607
Spring, ,Spring,/tmp/work/f/fd2018f64a454982efb835dc77be1101018e6610232322851e193df1308aeb7c
Spring, ,Spring,/tmp/work/f/fdae6f30ce3d61e1952cac5f2e31c8f57c26f66df70a70805bdfd7362b10b1b1
Spring, ,Spring,/tmp/work/f/f59ea2175cc8c560bd27eb48c80815c6af6f3174554b4a126f168810f1fafb93
Spring, ,Spring,/tmp/work/f/f57ba112bb2e529c6542213eb4030ee72cccd7261f774df6f3eb56d59c5f83fc
Spring, ,Spring,/tmp/work/f/f5b5407a7d8c64f3a6d998a4aabdc6174a085a33490355a575d46c3d1f6c924b
Spring, 2020 ,Spring,/tmp/work/f/f66ecc6993a92d5428b4dfcdea20bf5fa4e5d3fd161dd16b458654c3d1047531
Spring, ,Spring,/tmp/work/f/f63b0783680bbc6d9d1e516d4732fa8813db2d82bad51e6f229a74778b460071
Spring, 2015 ,Spring,/tmp/work/f/fd48e2df17aef2cb62d263313001ba931d9c5a145b6c2978f0999ff84df05239
Spring, 2015 ,Spring,/tmp/work/f/ffe680c08e53412d629a483de5c6a31d3aa5c63e73032ae28a6277da246a7f19
Spring, 2019 ,Spring,/tmp/work/f/f36a8c4c9b9e5d7ee6d21a8e1142896abe2f81688a490d26d2860f2f2ae742a7
Spring, 2005 ,Spring,/tmp/work/f/fcfe285652bb0d6fbb37cd22e2f208e517bff721d7352df78d96a6adef9b20b9
Spring, ,Spring,/tmp/work/f/f1078a319bfb7e5c3c81bb6c387917333805836d40bd046f7cad6a4d87fc8e76
Spring, 2017 ,Spring,/tmp/work/f/f321a89c97879d5f17cba713ce12e5d3be6e4dd09c0afb6fd8a653030e491663
Spring, ,Spring,/tmp/work/f/f7ded6624682e36606c21ef416b4cf5720ed2cc89bf4292aab8751a6e8fc93e7
Spring, ,Spring,/tmp/work/f/f35891ca8ec8909b78a1b772d99e568267d9c48a3a31539257aaa21a8033de98
Spring, ,Spring,/tmp/work/f/f7ae72d2aaff0b4b7b8a9dc50aa93d4947de181e51c914b820069173375ae6a3
Spring, ,Spring,/tmp/work/f/f886b5cabd46e72985f3be62db88037f2f6937616736088f04f1041f46f25dd6
Spring, ,Spring,/tmp/work/f/fb40234c5287df8d89777062b84740ec03a1ab770cfaa10e5d19728eaf248358
Spring, ,Spring,/tmp/work/f/f96a03065b8ef3a74fa91cb91a2c5d5dedc3972d05b696d5c1fa81633660b900
Spring, ,Spring,/tmp/work/f/f57ad200c9713058fc205c63640f0169f3eed995b3c78823514194292c9a28ab
Spring, 2019 ,Spring,/tmp/work/f/f9a69a13ab7d4ef471d5e639fda5cdbe37f02602b4712edccd92caec15219940
Spring, ,Spring,/tmp/work/f/f0c814f0fb45744a49b5bef7d26d408b967a40b14a6bd7be1d82fddc622c4b5e
Spring, ,Spring,/tmp/work/f/f0d8fe5e27ade39dbd31a91ab368f1cafd5f48ea45057536cbe725e0b3655b05
Spring, ,Spring,/tmp/work/f/f51400d99dcffe4e8fcf2db08c38eb864fdab0019461471e39b4f247c582122e
Spring, ,Spring,/tmp/work/f/fc5dde4080b0fc321db577ea6574aa9774cac7180ed81e31e0843f0c1ff324bc
Spring, 2018 ,Spring,/tmp/work/f/f6ba3d8a22c04b5518f480745ae232e0b394385b84572707e11a7fee535f348f
Spring, ,Spring,/tmp/work/f/fe14b4919369e7c33906f12d586c5272783ea7b28d5b657994a9fb66f4955619
Spring, ,Spring,/tmp/work/f/ff348c6b92eee6405696014d94bffdf34b238994c76d84479475b81f575058c9
Spring, ,Spring,/tmp/work/f/f9397c86cdd0f3ff6be095418a3ae8bf36231c19bf1ebaaa80b9a5d861af2073
Spring, 2020 ,Spring,/tmp/work/f/fb5dc7d1034917c562f98964259b8853c0a7fbaf62fee33d689d88cf5876cc68
Spring, 2013 ,Spring,/tmp/work/f/fb2253c6b7a7b5fbd8905703c3ab71de19aa58d013106b88b159da1acdf9cbd4
Spring, ,Spring,/tmp/work/f/fe6a4aeba9dee6526097e9f285bc032b104493f107aece205c10bccdc150c6b4
Spring, ,Spring,/tmp/work/f/f8653b74602657349da46f815d4272cfc9485527624307e1885b9c25fb0f10e4
Spring, ,Spring,/tmp/work/f/ff240da4f6ce4b69bcc6c3aa3f511127c75d6472383da29887a649c9a7199cfa
Spring, 2013 ,Spring,/tmp/work/f/f071ede2ed398a28a57d561e8dd1cce37e57b4a0eed708f88c1b170070599d2a
Spring, ,Spring,/tmp/work/f/f30433d520c9f512127f8edbb2270c79c9669fbfde830526b002af84becd54f9
Spring, ,Spring,/tmp/work/f/ff523d94ec7b4b945e3f1d9339b47ae796ab9a33580853794d28672f033e520a
Spring, 2005 ,Spring,/tmp/work/f/f30feb5ca859eba74714ba10bea7b7d2679c5ca2e8c31896eb6c93cbf2f5ba02
Spring, ,Spring,/tmp/work/f/fc2f42df7669032a558acec825d7282217f914ae1fa8d7bf66b351a84ac6b896
Spring, ,Spring,/tmp/work/f/f3f5819658f89f82567545ece78de41571687c2d32bb16ad698b98b03399e0ef
Spring, ,Spring,/tmp/work/f/ff0c15f0533e0a651cbb8e2aec63e836872e04f82f51ab492c8c327bbccd2937
Spring, 2020 ,Spring,/tmp/work/f/f49fcb16d1d0f0e0e2fb1e4b472e8e5ff94da0c66d88cad22456ea7fc08a1a16
Spring, 2020 ,Spring,/tmp/work/f/f1c65bc75ccd67b1473e9753e7dacce22c10755da3891bb7a14ad83d96dd4364
Spring, ,Spring,/tmp/work/f/f35edc56854a99e7dd83a78ef88d62becac5b5b2e7e2143aed8de7d33d47ae65
Spring, 2001 ,Spring,/tmp/work/f/f94d680ed46fa5c510aa2a48f518c942989d9daa362ab2379b965fe79f619b54
Spring, ,Spring,/tmp/work/f/f62a20c157b84aa809a94b9d4f087f3c9e2574be09b6dc81e965cf92071282d1
Spring, 2017 ,Spring,/tmp/work/f/ffea187b957d6e40554f5859b9e41ecae4cca7908a39c37b1ec1afeb827267fc
Spring, ,Spring,/tmp/work/f/f5f2b76b40f5dcae861ecbe95a48fd7284d8ec8a30227eeb638beeab0cf4d09e
Spring, ,Spring,/tmp/work/f/f5be5fa2d11e0eeedda9353faba166b1fdc4eb910f0e9d57ee192106d974f375
Spring, ,Spring,/tmp/work/f/f2cc3eaa3321a58f11ebc6b8775e4af7882e3221043e9de18368b29a539b47c0
Spring, 2018 ,Spring,/tmp/work/f/f7b13ec47193b43dc50073615fc010890c77957c5dd775d36cb465cd12d80c21
Spring, 2016 ,Spring,/tmp/work/f/f2ac23528e2351dd0353163545ce55557a6f1202554ca43586100100784713ab
Spring, ,Spring,/tmp/work/f/fd3e0b506d428d8c913bd9da92453e274ce009f1511a5f8d9e921870512052e9
Spring, ,Spring,/tmp/work/f/f7352a006c1b480cb5673a2f59e5c62e8f236931052732827c206d0fa0f00c3e
Spring, 2018 ,Spring,/tmp/work/f/f979619d8dbd8754f5ae9c88acab13e1ca5d03410c0310882e4d76d7bd2bd8cc
Spring, ,Spring,/tmp/work/f/ff84d1d6275b0a94d064f44513233725e1d9037a867ee30a9d0d928b84662a22
Spring, ,Spring,/tmp/work/f/f8f84957462476b45d68c0f6b9daafcc18a091369362a20665dfc31b6a3881fd
Spring, 2018 2017 ,Spring,/tmp/work/f/f29694c530ef40f5c559a83704c9c2b224de4dd7b0e371d6269e3e0b57094196
Spring, ,Spring,/tmp/work/f/f0554155dab70ae898a41846ef3293bb9901e122026e38dd6d52ad6106cf4da6
Spring, 2016 ,Spring,/tmp/work/f/f0fe6538a0f7ace4e1c028121b3b4bd6f7362f59902e07c1ee3d266d1f8718dd
Spring, ,Spring,/tmp/work/f/f5ac6133a6a228358d83e411c70a8fb8b85ef75b16374cc435273464b0ed5f70
Spring, ,Spring,/tmp/work/f/f02c31bdeea82996a36464245a2dc98f61ff496cc34452df91173159db654469
Spring, 2020 ,Spring,/tmp/work/f/f4d176ec15c6a0dcabc735882c41a1f1e95971336c1fef6aa5ea53ba0302e539
Spring, ,Spring,/tmp/work/f/fc6daecc7e3cfb84e29aba9138d2bf72033025c0250003fe82b37b6af828c5eb
Spring, ,Spring,/tmp/work/f/ff342f6fc2ea36d044d8e5781f6bf4316567238d6a24983edfba24c93283dec4
Spring, ,Spring,/tmp/work/f/faff4eef5d3fd683d7aaf99e108332b57e57bba2b1b1c760a5cbe7f408a0a55e
Spring, 2008 ,Spring,/tmp/work/f/fcacef41e03f1db21380daba2e01502f3cb82fdf3bb1d3cad0f887a6aafa69c5
Spring, ,Spring,/tmp/work/f/ffc4cc56f1d73d662122ecc51e8da286e0780a5cac286598da245bd8bc7ea635
Spring, ,Spring,/tmp/work/f/fe7a9dac362878fe9af5ecb289d52a82a7acc53f1bcda654779ef1722704d962
Spring, 2018 ,Spring,/tmp/work/f/fa3ff20db49ec2a00e2a5077ba346bf100dea25cfc179effb36410711f31f50b
Spring, 2015 2019 2018 2021 2016 2017 ,Spring,/tmp/work/f/fdc1f13d81f0fe3de4e21be96fea72ce7a5a6c3db1367b4738da954aca16afb2
Spring, ,Spring,/tmp/work/f/f70099a09a8b7be4ad5f056c3089b207b333725e608687d1869c2ba28953f1c6
Spring, ,Spring,/tmp/work/f/fae070a2fdb6cf26bdbf2ea161ed86988ffee99302ea49443aaee998d0172dba
Spring, ,Spring,/tmp/work/f/febc007e12e5cbcef9a46102cf2df71251ba6387646ad7b3192099ddf85af050
Spring, 2014 ,Spring,/tmp/work/f/fed3ba24992d37502ac7a655957566d96b9777a5c8b27cda7f7d50a3b15bb946
Spring, 2018 ,Spring,/tmp/work/f/f9f950b1a503f29d0b1683d434cd98fb1efa8ea14178ff45cbae6eabc9dace06
Spring, ,Spring,/tmp/work/f/f69ce235bd23b3bb292a062b8adb64634d4852a6aefdfeccbba2d93382f91694
Spring, ,Spring,/tmp/work/f/fddc0b98ab181a49c1b0e7c40eb684fb534d0ef41a639a3f8c0dc18541f84da6
Spring, ,Spring,/tmp/work/f/fe34e177751ec836b133294e06a08583d6f161b448134799bc9d3253d849418a
Spring, 2019 2018 2017 ,Spring,/tmp/work/f/f3da555b013738a5f44a0de0394e1b0cb6efd7bcc8c78f42dc712fd17999cc4c
Spring, ,Spring,/tmp/work/f/f3d70c6d72e405363fab20525af8f160a85da6edb31197a5fb0c5593536e6187
Spring, 2015 ,Spring,/tmp/work/f/fcc73aa61c4727b6b7d404ffd993ebf6092bb5009b71410745baa92e293bbfb2
Spring, ,Spring,/tmp/work/f/f614a2a160bf6124ee272f52a98b43ec9411b2936612179de2b110e7c8b49e3f
Spring, ,Spring,/tmp/work/f/f090f56f0d4d01f115b253af8f9899d2d459db124f065dd1ac7a6ef066a41964
Spring, ,Spring,/tmp/work/f/fb08313a8a8d82e8dd373de401bd19c325a50bfee22d69b412c130b657e43f69
Spring, ,Spring,/tmp/work/f/f4cbd414a20237adcc36c5acbf8ebf381eb9db12152b0423a01b3b82d8db4e8e
Spring, ,Spring,/tmp/work/f/fb2d952270af71f8325ee7b4bf1562aa3df545bdcfe03dd55b76b0ccff117321
Spring, ,Spring,/tmp/work/f/f97c716d81e7459df95bdcd5af41fa242d8cc30f89db044f95fafe7b4546dd67
Spring, ,Spring,/tmp/work/f/f9a02245414276d94fff05fc13a6f3f73aad5d0970aabe17baaff855510f8e32
Spring, 2012 ,Spring,/tmp/work/f/fb5fb1352bc912634118b90f0c104a46ed4c86a02e39436a6ac578ca7e98fa7c
